airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,route,duration_category,price
Air_India,AI-424,Kolkata,Afternoon,one,Morning,Chennai,Economy,19.42,6,Kolkata → Chennai,Very Long (>12h),13524
Indigo,6E-2193,Delhi,Afternoon,two_or_more,Night,Chennai,Economy,7.0,13,Delhi → Chennai,Long (6-12h),9940
Air_India,AI-768,Kolkata,Afternoon,one,Afternoon,Chennai,Business,21.17,44,Kolkata → Chennai,Very Long (>12h),55983
Vistara,UK-876,Hyderabad,Night,one,Early_Morning,Bangalore,Economy,10.25,11,Hyderabad → Bangalore,Long (6-12h),7927
Vistara,UK-774,Kolkata,Night,one,Night,Chennai,Business,26.5,5,Kolkata → Chennai,Very Long (>12h),55502
Vistara,UK-826,Chennai,Afternoon,one,Evening,Delhi,Economy,5.58,24,Chennai → Delhi,Medium (3-6h),5206
Vistara,UK-877,Mumbai,Morning,one,Afternoon,Delhi,Economy,4.92,24,Mumbai → Delhi,Medium (3-6h),5232
Vistara,UK-814,Bangalore,Night,one,Evening,Kolkata,Business,22.42,35,Bangalore → Kolkata,Very Long (>12h),62188
GO_FIRST,G8-451,Chennai,Night,one,Early_Morning,Kolkata,Economy,8.42,31,Chennai → Kolkata,Long (6-12h),7312
Air_India,AI-887,Delhi,Early_Morning,one,Early_Morning,Chennai,Economy,24.33,15,Delhi → Chennai,Very Long (>12h),4251
Vistara,UK-836,Chennai,Morning,one,Evening,Mumbai,Economy,5.75,25,Chennai → Mumbai,Medium (3-6h),4637
Vistara,UK-613,Mumbai,Afternoon,one,Evening,Delhi,Economy,4.5,3,Mumbai → Delhi,Medium (3-6h),15078
Indigo,6E-6066,Hyderabad,Morning,one,Evening,Chennai,Economy,10.0,10,Hyderabad → Chennai,Long (6-12h),6753
Vistara,UK-847,Delhi,Morning,one,Afternoon,Mumbai,Economy,27.58,12,Delhi → Mumbai,Very Long (>12h),12570
Air_India,AI-640,Bangalore,Early_Morning,one,Evening,Chennai,Economy,9.5,23,Bangalore → Chennai,Long (6-12h),6586
Air_India,AI-840,Hyderabad,Night,one,Night,Bangalore,Economy,23.25,29,Hyderabad → Bangalore,Very Long (>12h),6734
GO_FIRST,G8-194,Delhi,Night,one,Early_Morning,Mumbai,Economy,11.25,17,Delhi → Mumbai,Long (6-12h),5806
Air_India,AI-615,Mumbai,Early_Morning,one,Afternoon,Delhi,Business,8.08,35,Mumbai → Delhi,Long (6-12h),41101
Indigo,6E-772,Delhi,Early_Morning,one,Afternoon,Chennai,Economy,8.58,35,Delhi → Chennai,Long (6-12h),3996
Vistara,UK-941,Delhi,Evening,one,Early_Morning,Hyderabad,Business,15.08,30,Delhi → Hyderabad,Very Long (>12h),47217
Air_India,AI-9894,Chennai,Morning,one,Afternoon,Bangalore,Economy,6.42,2,Chennai → Bangalore,Long (6-12h),14861
Vistara,UK-845,Mumbai,Early_Morning,one,Afternoon,Delhi,Economy,6.67,14,Mumbai → Delhi,Long (6-12h),12138
Vistara,UK-810,Bangalore,Early_Morning,one,Night,Mumbai,Economy,14.25,23,Bangalore → Mumbai,Very Long (>12h),7212
Vistara,UK-943,Delhi,Early_Morning,one,Night,Hyderabad,Economy,13.42,15,Delhi → Hyderabad,Very Long (>12h),6172
Indigo,6E-156,Chennai,Night,one,Early_Morning,Mumbai,Economy,8.75,44,Chennai → Mumbai,Long (6-12h),1830
Vistara,UK-824,Chennai,Night,one,Evening,Delhi,Business,23.25,36,Chennai → Delhi,Very Long (>12h),53440
Air_India,AI-402,Kolkata,Morning,one,Night,Bangalore,Economy,13.5,47,Kolkata → Bangalore,Very Long (>12h),7053
GO_FIRST,G8-7547,Bangalore,Morning,one,Evening,Kolkata,Economy,7.5,36,Bangalore → Kolkata,Long (6-12h),6186
Air_India,AI-506,Delhi,Morning,one,Morning,Mumbai,Business,22.83,35,Delhi → Mumbai,Very Long (>12h),53164
SpiceJet,SG-5074,Mumbai,Early_Morning,zero,Morning,Kolkata,Economy,2.67,9,Mumbai → Kolkata,Short (<3h),7412
Vistara,UK-852,Bangalore,Morning,one,Evening,Delhi,Economy,7.25,2,Bangalore → Delhi,Long (6-12h),19879
AirAsia,I5-588,Kolkata,Afternoon,one,Late_Night,Delhi,Economy,11.83,34,Kolkata → Delhi,Long (6-12h),3014
Vistara,UK-816,Bangalore,Morning,one,Night,Mumbai,Business,11.33,48,Bangalore → Mumbai,Long (6-12h),54684
